learning_rate,batch_size,dropout_rate,train_losses,train_accuracies,test_accuracies
0.001,32,0.3,"[0.4482728956676111, 0.29300384686245184, 0.2508552767154647, 0.16950494616739148, 0.1297066427706703, 0.07784150264612058, 0.059426416820142325, 0.0370098396620857, 0.033100054702320234, 0.022493326827898865, 0.04096494256708074, 0.040565900170391925, 0.0315983098696887, 0.022090052109120822, 0.0071258417352451, 0.00358553893514968, 0.0012673577362845643, 0.0007753781434830005, 0.0005066082494359888, 0.00043722895651722584, 0.0006179962417241414, 0.0004673775974864602, 0.0006760748357860357, 0.0005146940936792521, 0.0005335996172365915]","[0.7894308943089431, 0.8764227642276423, 0.8845528455284553, 0.9292682926829269, 0.9536585365853658, 0.9739837398373984, 0.9796747967479674, 0.9878048780487805, 0.9878048780487805, 0.989430894308943, 0.9821138211382113, 0.9861788617886179, 0.9878048780487805, 0.9951219512195122, 0.9983739837398374, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8116883116883117, 0.9025974025974026, 0.8181818181818182, 0.922077922077922, 0.9448051948051948, 0.935064935064935, 0.9188311688311688, 0.9577922077922078, 0.9285714285714286, 0.9253246753246753, 0.9285714285714286, 0.961038961038961, 0.8961038961038961, 0.961038961038961, 0.961038961038961, 0.9577922077922078, 0.9642857142857143, 0.961038961038961, 0.9577922077922078, 0.9577922077922078, 0.9545454545454546, 0.9545454545454546, 0.961038961038961, 0.961038961038961, 0.961038961038961]"
0.001,32,0.4,"[0.46725448127684555, 0.2886791836924669, 0.19529322116840175, 0.1752081809732003, 0.12600758154460084, 0.07508957114646106, 0.09468664115037376, 0.05895542254656311, 0.03252800281454877, 0.023798241015008794, 0.019183856566868177, 0.023780472538759555, 0.0185424074878901, 0.029840077116812875, 0.01399046209890668, 0.0031602552016757853, 0.001930568498423005, 0.0014829428303121718, 0.001478233727639753, 0.0007459686655452763, 0.0011694338082286673, 0.0006786028929792981, 0.000690486459915689, 0.0006367492165825353, 0.0004938639979620229]","[0.775609756097561, 0.8747967479674796, 0.9203252032520325, 0.9276422764227642, 0.9560975609756097, 0.9764227642276423, 0.959349593495935, 0.9813008130081301, 0.9902439024390244, 0.9934959349593496, 0.9959349593495935, 0.989430894308943, 0.9934959349593496, 0.9910569105691057, 0.9967479674796748, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7727272727272727, 0.9155844155844156, 0.8409090909090909, 0.9545454545454546, 0.948051948051948, 0.948051948051948, 0.9415584415584416, 0.9383116883116883, 0.9642857142857143, 0.961038961038961, 0.9285714285714286, 0.9545454545454546, 0.935064935064935, 0.9545454545454546, 0.9675324675324676, 0.9545454545454546, 0.9642857142857143, 0.9707792207792207, 0.974025974025974, 0.9707792207792207, 0.9642857142857143, 0.9675324675324676, 0.9545454545454546, 0.9577922077922078, 0.961038961038961]"
0.001,64,0.2,"[0.5072130748896095, 0.33442294641238884, 0.27445312631808644, 0.1874586881903129, 0.16128013134002686, 0.10722574085542341, 0.08989749290351945, 0.05087734341954555, 0.04234210420551339, 0.036116596014519046, 0.09993878523629855, 0.047236915078105, 0.026246793411020947, 0.013107091106561474, 0.00828345865238367, 0.003211700531646488, 0.0020259049024463184, 0.0015386289028910829, 0.0015327065189300877, 0.000871230737018452, 0.0010232802286433676, 0.0007932219811435031, 0.0008498951883577719, 0.0007626999051516452, 0.0006035415650670969]","[0.7626016260162601, 0.8552845528455284, 0.8796747967479674, 0.9252032520325203, 0.9333333333333333, 0.9626016260162602, 0.9682926829268292, 0.9861788617886179, 0.983739837398374, 0.9902439024390244, 0.9617886178861789, 0.9764227642276423, 0.9934959349593496, 0.9959349593495935, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7532467532467533, 0.8376623376623377, 0.8376623376623377, 0.9090909090909091, 0.9545454545454546, 0.9253246753246753, 0.961038961038961, 0.9545454545454546, 0.9415584415584416, 0.922077922077922, 0.9642857142857143, 0.961038961038961, 0.9448051948051948, 0.9383116883116883, 0.9577922077922078, 0.9545454545454546, 0.9642857142857143, 0.961038961038961, 0.9577922077922078, 0.9577922077922078, 0.9577922077922078, 0.9577922077922078, 0.961038961038961, 0.961038961038961, 0.9545454545454546]"
0.001,64,0.3,"[0.5211529350862271, 0.31250686427442037, 0.24266509716588308, 0.16592073762804513, 0.13315753277118614, 0.08531054941619315, 0.08806073252505403, 0.03259352741581274, 0.025604040460373328, 0.05026139374670944, 0.08073561198827697, 0.04069881670903869, 0.010524151268286434, 0.006650107087400871, 0.010968582805651203, 0.004523901161699881, 0.0027572213168581567, 0.002330674141327419, 0.0021360024135953525, 0.002826178955516165, 0.0009341363318082763, 0.0006028349641464439, 0.0005109932409444203, 0.0003631505868170501, 0.0011776005648591412]","[0.791869918699187, 0.859349593495935, 0.8959349593495934, 0.9300813008130081, 0.9504065040650407, 0.9739837398373984, 0.9617886178861789, 0.9934959349593496, 0.9943089430894309, 0.9780487804878049, 0.9691056910569106, 0.9829268292682927, 0.9991869918699187, 0.9991869918699187, 0.9983739837398374, 0.9991869918699187, 0.9991869918699187, 1.0, 1.0, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.75, 0.8246753246753247, 0.8766233766233766, 0.8084415584415584, 0.922077922077922, 0.9415584415584416, 0.9512987012987013, 0.948051948051948, 0.9512987012987013, 0.9318181818181818, 0.9383116883116883, 0.9512987012987013, 0.9512987012987013, 0.9512987012987013, 0.948051948051948, 0.9545454545454546, 0.9545454545454546, 0.948051948051948, 0.948051948051948, 0.9545454545454546, 0.9577922077922078, 0.9545454545454546, 0.9545454545454546, 0.9545454545454546, 0.9545454545454546]"
0.001,64,0.4,"[0.5175497360830384, 0.3395607470012293, 0.23777442892513623, 0.19557755057646975, 0.1495994547578862, 0.09096858473116062, 0.08001206720747599, 0.061563429575625474, 0.03516730339289075, 0.0304212224404744, 0.023796851918994773, 0.007730976507499269, 0.005504011914012878, 0.005525218763736993, 0.0031740570513293055, 0.0014472112367431278, 0.0011497684489420758, 0.0014535061204881687, 0.0008187027407215711, 0.0007973561922326775, 0.0011328377425897775, 0.0006194393204930201, 0.0005499808139042793, 0.00044359196989221604, 0.00027511441690669344]","[0.7577235772357723, 0.8382113821138212, 0.9008130081300812, 0.9219512195121952, 0.9463414634146341, 0.9747967479674797, 0.9723577235772358, 0.9829268292682927, 0.989430894308943, 0.9910569105691057, 0.9943089430894309, 0.9991869918699187, 0.9983739837398374, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7532467532467533, 0.8538961038961039, 0.9025974025974026, 0.8863636363636364, 0.9253246753246753, 0.8961038961038961, 0.9415584415584416, 0.9642857142857143, 0.9707792207792207, 0.9545454545454546, 0.9707792207792207, 0.961038961038961, 0.9577922077922078, 0.948051948051948, 0.9642857142857143, 0.9642857142857143, 0.9707792207792207, 0.9642857142857143, 0.9675324675324676, 0.9512987012987013, 0.9577922077922078, 0.974025974025974, 0.974025974025974, 0.9675324675324676, 0.9707792207792207]"
0.001,128,0.2,"[0.7494317184134227, 0.42631060728212683, 0.3849922907546284, 0.33856988694609663, 0.29860867722247675, 0.26030844743174264, 0.20888809108637213, 0.1850881857116048, 0.1452777447254677, 0.12001193025247837, 0.07870737571057265, 0.0704632153113683, 0.0565483756666261, 0.050717503777364406, 0.03215450025125732, 0.022376733848719094, 0.013129376417131928, 0.010673328704859425, 0.00743534685892424, 0.004311425332737163, 0.003713714790613792, 0.003453065887873432, 0.003083515595038974, 0.00238361616459925, 0.002309518192357164]","[0.7138211382113822, 0.7764227642276422, 0.8097560975609757, 0.8422764227642277, 0.8764227642276423, 0.8813008130081301, 0.9227642276422764, 0.9211382113821138, 0.9439024390243902, 0.9617886178861789, 0.9788617886178862, 0.9764227642276423, 0.9861788617886179, 0.9861788617886179, 0.9910569105691057, 0.9951219512195122, 0.9983739837398374, 0.9983739837398374, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7402597402597403, 0.7564935064935064, 0.7694805194805194, 0.7792207792207793, 0.8474025974025974, 0.7954545454545454, 0.9058441558441559, 0.922077922077922, 0.935064935064935, 0.9285714285714286, 0.948051948051948, 0.8668831168831169, 0.9383116883116883, 0.935064935064935, 0.935064935064935, 0.9448051948051948, 0.9512987012987013, 0.9512987012987013, 0.9577922077922078, 0.9512987012987013, 0.948051948051948, 0.9545454545454546, 0.9577922077922078, 0.9512987012987013, 0.9448051948051948]"
0.001,128,0.3,"[0.6604815983190769, 0.4157538694094836, 0.3712446141533735, 0.31527387524038797, 0.2726189474264781, 0.22389878824474366, 0.16768719110547042, 0.1306234037367309, 0.09004705033408918, 0.07804464661493533, 0.06759089002522027, 0.04985433176644449, 0.0446337143156102, 0.02235728567996161, 0.01451489872988162, 0.009997738637332994, 0.006777545013199977, 0.006920827143802875, 0.008212574223071579, 0.005492615597549735, 0.0029613506306356533, 0.002837722040372106, 0.0016860914433647583, 0.0015940958221359709, 0.0015363544066686456]","[0.7089430894308943, 0.7983739837398374, 0.8349593495934959, 0.8634146341463415, 0.8869918699186992, 0.9113821138211382, 0.9382113821138212, 0.9577235772357724, 0.9747967479674797, 0.9739837398373984, 0.975609756097561, 0.9869918699186991, 0.9829268292682927, 0.9951219512195122, 0.9975609756097561, 0.9991869918699187, 1.0, 0.9991869918699187, 0.9991869918699187, 0.9991869918699187, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7402597402597403, 0.7662337662337663, 0.7564935064935064, 0.762987012987013, 0.8798701298701299, 0.8831168831168831, 0.9090909090909091, 0.9448051948051948, 0.9383116883116883, 0.9415584415584416, 0.9577922077922078, 0.948051948051948, 0.9383116883116883, 0.9577922077922078, 0.9577922077922078, 0.961038961038961, 0.9675324675324676, 0.9415584415584416, 0.9675324675324676, 0.961038961038961, 0.961038961038961, 0.9707792207792207, 0.9707792207792207, 0.9642857142857143, 0.9675324675324676]"
0.001,128,0.4,"[0.6945494123590671, 0.41440493900601455, 0.3403764461598745, 0.31091498310973004, 0.2522675620831125, 0.21082984516775705, 0.18713658246082987, 0.13852028265231994, 0.11918582091244255, 0.08521817092125009, 0.052568129746894524, 0.034143052719594016, 0.025538298881393137, 0.01643800749708482, 0.017523700559163483, 0.010128296368066373, 0.009181707175221385, 0.007247953310730012, 0.006397245199669425, 0.007893205606719344, 0.007834161942961012, 0.010883464773253696, 0.01924782632055079, 0.005492705185481203, 0.0037106816174189857]","[0.6991869918699187, 0.8, 0.8455284552845529, 0.8691056910569106, 0.8975609756097561, 0.9186991869918699, 0.9211382113821138, 0.9495934959349593, 0.9617886178861789, 0.973170731707317, 0.9869918699186991, 0.9910569105691057, 0.9967479674796748, 0.9983739837398374, 0.9959349593495935, 0.9991869918699187, 0.9983739837398374, 1.0, 1.0, 0.9975609756097561, 0.9991869918699187, 0.9975609756097561, 0.9943089430894309, 0.9991869918699187, 1.0]","[0.7402597402597403, 0.7435064935064936, 0.7532467532467533, 0.8409090909090909, 0.8409090909090909, 0.8831168831168831, 0.935064935064935, 0.935064935064935, 0.9058441558441559, 0.9318181818181818, 0.948051948051948, 0.961038961038961, 0.9545454545454546, 0.9155844155844156, 0.9642857142857143, 0.9642857142857143, 0.922077922077922, 0.961038961038961, 0.9642857142857143, 0.9577922077922078, 0.922077922077922, 0.9123376623376623, 0.8928571428571429, 0.9577922077922078, 0.961038961038961]"
0.01,32,0.2,"[1.237357564234152, 0.39433183766962066, 0.35435769475572476, 0.3119417055593274, 0.2925732580626883, 0.3089905637066539, 0.26365738515931414, 0.23985659237799606, 0.2026016596856156, 0.17277684105121024, 0.17098379006715325, 0.15483444089569698, 0.13408051972103313, 0.12054369907553603, 0.10353856639769989, 0.07679969511350723, 0.07503164907902236, 0.06317288500022113, 0.11286682712928793, 0.040269998070306894, 0.06797844741069446, 0.03232348729530728, 0.03410255960453817, 0.06811031319988452, 0.04575911857551191]","[0.7024390243902439, 0.8105691056910569, 0.8341463414634146, 0.8585365853658536, 0.8634146341463415, 0.859349593495935, 0.8861788617886179, 0.8975609756097561, 0.926829268292683, 0.932520325203252, 0.9333333333333333, 0.943089430894309, 0.9536585365853658, 0.9601626016260163, 0.9650406504065041, 0.973170731707317, 0.975609756097561, 0.973170731707317, 0.9609756097560975, 0.9845528455284552, 0.9707317073170731, 0.9886178861788618, 0.9869918699186991, 0.9715447154471545, 0.983739837398374]","[0.7012987012987013, 0.788961038961039, 0.801948051948052, 0.8474025974025974, 0.8603896103896104, 0.7824675324675324, 0.8668831168831169, 0.8863636363636364, 0.9285714285714286, 0.935064935064935, 0.9383116883116883, 0.9090909090909091, 0.8896103896103896, 0.9383116883116883, 0.948051948051948, 0.9415584415584416, 0.9155844155844156, 0.8506493506493507, 0.9318181818181818, 0.7857142857142857, 0.9318181818181818, 0.9512987012987013, 0.9448051948051948, 0.9577922077922078, 0.9448051948051948]"
0.01,32,0.3,"[1.0581698319291681, 0.39988196618188687, 0.3880507756054886, 0.32401385166780733, 0.31615630058738275, 0.2644625424369564, 0.23011021013182353, 0.22925159613776014, 0.20677920943353234, 0.19983253458408806, 0.13816697150468826, 0.12294008942638955, 0.09410947889574175, 0.13795931946213652, 0.09017837704954351, 0.09812026782249048, 0.14617505536331393, 0.08139121318008842, 0.08325290813194058, 0.0766753888953992, 0.054978631315677144, 0.07970359834229074, 0.027935486128629467, 0.09125921428203583, 0.03736569603405348]","[0.7211382113821139, 0.7861788617886178, 0.8121951219512196, 0.8634146341463415, 0.8544715447154472, 0.9065040650406504, 0.9105691056910569, 0.9040650406504065, 0.9113821138211382, 0.926829268292683, 0.9536585365853658, 0.9544715447154472, 0.9626016260162602, 0.9512195121951219, 0.9699186991869919, 0.9569105691056911, 0.9504065040650407, 0.9707317073170731, 0.9715447154471545, 0.9715447154471545, 0.9788617886178862, 0.9715447154471545, 0.9934959349593496, 0.9788617886178862, 0.989430894308943]","[0.7272727272727273, 0.7694805194805194, 0.8474025974025974, 0.762987012987013, 0.8961038961038961, 0.9155844155844156, 0.814935064935065, 0.8961038961038961, 0.9123376623376623, 0.9155844155844156, 0.9448051948051948, 0.9383116883116883, 0.8441558441558441, 0.9155844155844156, 0.8441558441558441, 0.9577922077922078, 0.935064935064935, 0.9058441558441559, 0.9090909090909091, 0.9285714285714286, 0.9545454545454546, 0.9188311688311688, 0.9123376623376623, 0.9545454545454546, 0.9123376623376623]"
0.01,32,0.4,"[1.1882764538129171, 0.4418388660845718, 0.37947806420365, 0.3514795041181208, 0.3186969396544666, 0.2632296948413539, 0.23252059923924082, 0.24126522066147346, 0.21504063824327982, 0.2708028619609228, 0.21521592692631047, 0.2100775208551346, 0.15549482439107043, 0.11950031647655537, 0.15387146177936376, 0.14732598884076606, 0.12101978891021838, 0.1007778957365005, 0.1057085820935606, 0.08567570714446587, 0.050675784735902535, 0.1219842557984639, 0.06830198059418821, 0.05145389983597083, 0.08069309028910428]","[0.7398373983739838, 0.7634146341463415, 0.816260162601626, 0.832520325203252, 0.8447154471544716, 0.883739837398374, 0.9056910569105691, 0.9130081300813008, 0.9195121951219513, 0.8861788617886179, 0.9203252032520325, 0.9146341463414634, 0.9382113821138212, 0.9455284552845529, 0.9479674796747968, 0.9504065040650407, 0.9528455284552846, 0.9609756097560975, 0.9650406504065041, 0.9650406504065041, 0.9821138211382113, 0.959349593495935, 0.9764227642276423, 0.9869918699186991, 0.9764227642276423]","[0.7402597402597403, 0.7597402597402597, 0.8051948051948052, 0.7727272727272727, 0.8474025974025974, 0.9058441558441559, 0.8928571428571429, 0.8116883116883117, 0.8961038961038961, 0.8246753246753247, 0.9155844155844156, 0.8603896103896104, 0.935064935064935, 0.8701298701298701, 0.8409090909090909, 0.9415584415584416, 0.922077922077922, 0.8376623376623377, 0.9415584415584416, 0.9545454545454546, 0.9448051948051948, 0.8961038961038961, 0.8961038961038961, 0.9415584415584416, 0.8246753246753247]"
0.01,64,0.2,"[1.7455056206966804, 0.4415352237903006, 0.3669053724141625, 0.335537382160745, 0.3125223259615704, 0.28393156573297534, 0.24730290242326938, 0.21358845495596165, 0.19337488163292893, 0.18179744290627115, 0.18093598887203186, 0.17737882176065833, 0.22821886529767416, 0.16790134190786177, 0.12245447408195918, 0.0857960853634811, 0.10557605921616399, 0.0595969868263578, 0.06526239584616529, 0.051302582017956226, 0.04520711545052567, 0.1537240385706347, 0.07013629007085068, 0.0450264688838667, 0.02968753802824796]","[0.7235772357723578, 0.816260162601626, 0.8276422764227642, 0.8455284552845529, 0.8634146341463415, 0.8682926829268293, 0.8926829268292683, 0.9130081300813008, 0.9203252032520325, 0.9260162601626016, 0.9178861788617886, 0.9333333333333333, 0.9016260162601626, 0.9365853658536586, 0.9544715447154472, 0.9691056910569106, 0.959349593495935, 0.9804878048780488, 0.9780487804878049, 0.9861788617886179, 0.983739837398374, 0.9414634146341463, 0.9764227642276423, 0.9853658536585366, 0.9861788617886179]","[0.7792207792207793, 0.7662337662337663, 0.7727272727272727, 0.8181818181818182, 0.775974025974026, 0.8344155844155844, 0.8961038961038961, 0.8928571428571429, 0.9058441558441559, 0.8993506493506493, 0.9383116883116883, 0.7662337662337663, 0.922077922077922, 0.8733766233766234, 0.9383116883116883, 0.8538961038961039, 0.922077922077922, 0.9188311688311688, 0.8701298701298701, 0.948051948051948, 0.9383116883116883, 0.922077922077922, 0.948051948051948, 0.9415584415584416, 0.9545454545454546]"
0.01,64,0.3,"[2.3825420861321738, 0.48914122494255624, 0.45087321783468975, 0.43335209076966696, 0.41877873724069054, 0.3808337794571388, 0.35316498560634085, 0.31776021922506936, 0.30995792979147374, 0.2806860185008708, 0.26580297612562415, 0.2437630160673847, 0.23781867075741775, 0.17651515302619314, 0.17584159725565252, 0.13901308772525167, 0.184963394023054, 0.11387208994568848, 0.1447729729418832, 0.09709579609637338, 0.0771821566228944, 0.11962417900804581, 0.08915672663266097, 0.0768254723248443, 0.06684192182284182]","[0.656910569105691, 0.7300813008130081, 0.7747967479674797, 0.7780487804878049, 0.78130081300813, 0.7853658536585366, 0.8260162601626017, 0.8699186991869918, 0.8617886178861789, 0.8878048780487805, 0.891869918699187, 0.9121951219512195, 0.9130081300813008, 0.9357723577235773, 0.9260162601626016, 0.9512195121951219, 0.9292682926829269, 0.9577235772357724, 0.9398373983739837, 0.9658536585365853, 0.9723577235772358, 0.9447154471544715, 0.9682926829268292, 0.9747967479674797, 0.9764227642276423]","[0.724025974025974, 0.737012987012987, 0.7532467532467533, 0.7564935064935064, 0.762987012987013, 0.7597402597402597, 0.775974025974026, 0.8636363636363636, 0.8571428571428571, 0.788961038961039, 0.7727272727272727, 0.8571428571428571, 0.8863636363636364, 0.8051948051948052, 0.9318181818181818, 0.788961038961039, 0.8961038961038961, 0.9253246753246753, 0.9188311688311688, 0.9318181818181818, 0.9415584415584416, 0.9188311688311688, 0.9285714285714286, 0.9318181818181818, 0.948051948051948]"
0.01,64,0.4,"[1.6410333023323276, 0.41392202493621083, 0.35402210228811437, 0.364912320249449, 0.32987611914068704, 0.31842209737959914, 0.2796320718720676, 0.2781281247129285, 0.2494535378324307, 0.24155371896619718, 0.18653330894989695, 0.18561272204406862, 0.20668045863872622, 0.1606915567948566, 0.1649878443014331, 0.1473406362703176, 0.10915470680570215, 0.12958514598326953, 0.08415701144594487, 0.08065364645506308, 0.05143569632153201, 0.048909618063428535, 0.05356623704840497, 0.07945809538922902, 0.0699242534797366]","[0.7219512195121951, 0.802439024390244, 0.8357723577235773, 0.8227642276422764, 0.8471544715447155, 0.8747967479674796, 0.8926829268292683, 0.8813008130081301, 0.891869918699187, 0.8886178861788618, 0.9252032520325203, 0.926829268292683, 0.9097560975609756, 0.9406504065040651, 0.932520325203252, 0.948780487804878, 0.9609756097560975, 0.9544715447154472, 0.973170731707317, 0.9691056910569106, 0.983739837398374, 0.9804878048780488, 0.9804878048780488, 0.9707317073170731, 0.9723577235772358]","[0.7467532467532467, 0.7857142857142857, 0.724025974025974, 0.8214285714285714, 0.7694805194805194, 0.788961038961039, 0.8701298701298701, 0.7857142857142857, 0.801948051948052, 0.9058441558441559, 0.9415584415584416, 0.9123376623376623, 0.8896103896103896, 0.9253246753246753, 0.8701298701298701, 0.8084415584415584, 0.8441558441558441, 0.922077922077922, 0.9415584415584416, 0.9058441558441559, 0.935064935064935, 0.9318181818181818, 0.8701298701298701, 0.9318181818181818, 0.9415584415584416]"
0.01,128,0.2,"[2.1739087838467546, 0.5790738263265873, 0.4547541740464001, 0.4469181393704763, 0.4219402145079481, 0.4180390136997874, 0.40048886571473225, 0.37469319095456505, 0.34925004394073794, 0.32362105221283144, 0.2981654774367325, 0.27048680947078924, 0.24392777371212718, 0.23595402919180025, 0.20391228475221773, 0.16463644339786312, 0.16594271194644092, 0.13702429942483824, 0.10179508103103173, 0.11448039005442363, 0.08601327932220164, 0.0890189212027604, 0.12624006725665998, 0.07733287246731238, 0.055586426287162594]","[0.6747967479674797, 0.7252032520325203, 0.7617886178861789, 0.775609756097561, 0.7853658536585366, 0.7951219512195122, 0.7967479674796748, 0.8203252032520325, 0.8373983739837398, 0.8495934959349594, 0.8609756097560975, 0.875609756097561, 0.9040650406504065, 0.8959349593495934, 0.9211382113821138, 0.9300813008130081, 0.9390243902439024, 0.9463414634146341, 0.9642276422764228, 0.959349593495935, 0.9691056910569106, 0.973170731707317, 0.9512195121951219, 0.9699186991869919, 0.983739837398374]","[0.6883116883116883, 0.7467532467532467, 0.75, 0.7662337662337663, 0.7662337662337663, 0.7727272727272727, 0.7694805194805194, 0.8214285714285714, 0.698051948051948, 0.8441558441558441, 0.8051948051948052, 0.8701298701298701, 0.8928571428571429, 0.8928571428571429, 0.9253246753246753, 0.685064935064935, 0.8474025974025974, 0.9545454545454546, 0.8896103896103896, 0.9253246753246753, 0.9675324675324676, 0.8506493506493507, 0.788961038961039, 0.9448051948051948, 0.9577922077922078]"
0.01,128,0.3,"[3.212043789247187, 0.4938285555296797, 0.4505518361804931, 0.4392571454610282, 0.43110649895861863, 0.4166810761622297, 0.3935812718984557, 0.3614521768519549, 0.3382101680447416, 0.30624222634284476, 0.27500329603993795, 0.26342851233676196, 0.2573877160142108, 0.2244471381834852, 0.20433472489438406, 0.17013001010669926, 0.16107641802570685, 0.20734414540655244, 0.15910682594630776, 0.1348840900674099, 0.11354302075820241, 0.20993948554605002, 0.16513803269320387, 0.1186929411762129, 0.10161686513906087]","[0.6357723577235772, 0.767479674796748, 0.7666666666666667, 0.7715447154471544, 0.7691056910569106, 0.7829268292682927, 0.7902439024390244, 0.8105691056910569, 0.8422764227642277, 0.859349593495935, 0.8861788617886179, 0.9008130081300812, 0.891869918699187, 0.9138211382113821, 0.9121951219512195, 0.9317073170731708, 0.9373983739837398, 0.9113821138211382, 0.9349593495934959, 0.9512195121951219, 0.9520325203252032, 0.9130081300813008, 0.9308943089430894, 0.9544715447154472, 0.9650406504065041]","[0.7402597402597403, 0.7435064935064936, 0.7532467532467533, 0.7532467532467533, 0.7597402597402597, 0.7564935064935064, 0.762987012987013, 0.7727272727272727, 0.7922077922077922, 0.8506493506493507, 0.827922077922078, 0.8409090909090909, 0.9025974025974026, 0.8961038961038961, 0.9188311688311688, 0.7467532467532467, 0.8571428571428571, 0.7922077922077922, 0.9123376623376623, 0.9090909090909091, 0.814935064935065, 0.8733766233766234, 0.9188311688311688, 0.8506493506493507, 0.9025974025974026]"
0.01,128,0.4,"[2.808077123494652, 0.6374535780127456, 0.4567999707489479, 0.3841109465292799, 0.35380395592712777, 0.325169087377021, 0.3069214717644017, 0.2857851922027464, 0.2592877368616864, 0.246106427326435, 0.2405741437663877, 0.2335773956484911, 0.19775448456043151, 0.19997104183445133, 0.2134960574832389, 0.1772997124650614, 0.1442881485795587, 0.1237114867059196, 0.14103765303526467, 0.1340628415588441, 0.11010345846899157, 0.09033776962660192, 0.09585133984806092, 0.07679392187818279, 0.06160339502299704]","[0.6747967479674797, 0.7333333333333333, 0.7715447154471544, 0.808130081300813, 0.8504065040650407, 0.8504065040650407, 0.8715447154471545, 0.8845528455284553, 0.8967479674796748, 0.8975609756097561, 0.8991869918699187, 0.9056910569105691, 0.926829268292683, 0.9211382113821138, 0.9040650406504065, 0.9252032520325203, 0.9552845528455285, 0.9536585365853658, 0.9512195121951219, 0.9560975609756097, 0.9642276422764228, 0.967479674796748, 0.9666666666666667, 0.9739837398373984, 0.975609756097561]","[0.7402597402597403, 0.7272727272727273, 0.7532467532467533, 0.6201298701298701, 0.8116883116883117, 0.8474025974025974, 0.8571428571428571, 0.7435064935064936, 0.8603896103896104, 0.8603896103896104, 0.8538961038961039, 0.8928571428571429, 0.8961038961038961, 0.8344155844155844, 0.8831168831168831, 0.8636363636363636, 0.9285714285714286, 0.8571428571428571, 0.9155844155844156, 0.9318181818181818, 0.9253246753246753, 0.9318181818181818, 0.8993506493506493, 0.9415584415584416, 0.9383116883116883]"
